,contract_name,function_name,args,kwargs,n_steps,n_memory_holes,context,range_check_builtin,bitwise_builtin,pedersen_builtin
114,kakarot,initiate,(),"{'evm_address': 981189583513430272045844093456410884082871650191, 'starknet_address': 2090780521161023253860764839147192459915324840574229588547477280095699027855, 'value': 0}",857102,70045,solmate_erc20_mint,28797.0,6292.0,5977.0
120,kakarot,initiate,(),"{'evm_address': 981189583684390240013882342328854774005219686045, 'starknet_address': 297711810825469193935695537925490648074932354948875262623255031090922616477, 'value': 0}",857100,70046,solmate_erc20_totalSupply,28797.0,6292.0,5977.0
127,kakarot,initiate,(),"{'evm_address': 981189583638518924547506112272815371496919620176, 'starknet_address': 2882572195309336644531395345765839233130512446739048176154807654209657199184, 'value': 0}",857100,70046,solmate_erc20_all_test,28797.0,6292.0,5977.0
117,kakarot,initiate,(),"{'evm_address': 981189583605759754964995287575061444224022041101, 'starknet_address': 3279144821677310665031137412642463998847267103630995408265791491108076868109, 'value': 0}",857100,70046,solmate_erc20_balanceOf,28797.0,6292.0,5977.0
131,kakarot,execute_at_address,(),"{'address': 981189583638518924547506112272815371496919620176, 'value': 0, 'calldata': [35, 184, 114, 221, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10]}",490734,23648,solmate_erc20_all_test,18539.0,18840.0,1475.0
132,kakarot,execute_at_address,(),"{'address': 981189583638518924547506112272815371496919620176, 'value': 0, 'calldata': [169, 5, 156, 187, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5]}",289115,19370,solmate_erc20_all_test,10557.0,6280.0,1471.0
129,kakarot,execute_at_address,(),"{'address': 981189583638518924547506112272815371496919620176, 'value': 0, 'calldata': [9, 94, 167, 179, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 66, 64]}",286796,19171,solmate_erc20_all_test,10425.0,6280.0,1465.0
130,kakarot,execute_at_address,(),"{'address': 981189583638518924547506112272815371496919620176, 'value': 0, 'calldata': [221, 98, 237, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]}",278700,19165,solmate_erc20_all_test,10269.0,6280.0,1465.0
128,kakarot,execute_at_address,(),"{'address': 981189583638518924547506112272815371496919620176, 'value': 0, 'calldata': [64, 193, 15, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 100]}",224632,18021,solmate_erc20_all_test,8165.0,3142.0,1471.0
115,kakarot,execute_at_address,(),"{'address': 981189583513430272045844093456410884082871650191, 'value': 0, 'calldata': [64, 193, 15, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 100]}",224630,18022,solmate_erc20_mint,8165.0,3142.0,1471.0
